Treatment Index,Protected Pr(Y=1),Matched Mean Pr(Y=1),is_significant,comparison
92,0.8563253055470762,0.797827617586766,True,Higher than
93,0.9624287356941941,0.7596503325713101,True,Higher than
94,0.7187962683446881,0.9267617319621954,True,Lower than
95,0.8072768961567252,0.9314544898893939,True,Lower than
97,0.9104324417107763,0.7459578833354189,True,Higher than
98,0.5760113085839826,0.9215965799220036,True,Lower than
101,0.8216687641184088,0.763691173751686,True,Higher than
105,0.8586910629949095,0.9013765938136616,True,Lower than
106,0.60791080573871,0.9109621298275354,True,Lower than
108,0.6259227831357106,0.9400509581682915,True,Lower than
113,0.7814858673786201,0.886570425339285,True,Lower than
114,0.9470721887631127,0.938226444920153,True,Higher than
116,0.8705159436821612,0.771401989110871,True,Higher than
117,0.9404112218340202,0.7476094030126942,True,Higher than
119,0.9558680718277895,0.7828538063803184,True,Higher than
120,0.87222933320464,0.7677203064348607,True,Higher than
121,0.9505865163759073,0.8940609483109911,True,Higher than
122,0.9353880728312968,0.777117294345642,True,Higher than
123,0.6585222865487182,0.9317460099777761,True,Lower than
128,0.8156915588805015,0.929282714215575,True,Lower than
131,0.7994840733749095,0.8276124630386681,True,Lower than
132,0.6846619337192162,0.9017486273974685,True,Lower than
135,0.7663580408579124,0.9086651856614962,True,Lower than
136,0.8208719207242217,0.7602553310632232,True,Higher than
137,0.8238331302504684,0.7899186684409788,True,Higher than
138,0.8651077859360805,0.8678262805632933,False,Equal
140,0.8776313359768285,0.7469638971713565,True,Higher than
141,0.9295730900339794,0.9404398356822735,True,Lower than
142,0.9684524612033845,0.8295356534207969,True,Higher than
146,0.7217636966510526,0.7866567956377054,True,Lower than
147,0.9661173854488071,0.9172282730970047,True,Higher than
150,0.8927992301891304,0.7818099566573045,True,Higher than
151,0.8430808845396957,0.9009642422076267,True,Lower than
152,0.9636675153447015,0.9002686020850639,True,Higher than
153,0.7859072379072525,0.7409480054443324,True,Higher than
154,0.9088627210293,0.8337380081160081,True,Higher than
155,0.7539867171344306,0.7578805056014997,False,Equal
156,0.8876995907302394,0.7604629443325518,True,Higher than
157,0.9077536708675122,0.7316297761776677,True,Higher than
158,0.7901907865475125,0.9140129575320667,True,Lower than
159,0.8881098789047011,0.8942928029973083,True,Lower than
160,0.8906612953027409,0.7639099317253297,True,Higher than
161,0.826450825928073,0.7485915649191441,True,Higher than
162,0.6282986767705274,0.834178911696806,True,Lower than
164,0.8776313359768285,0.7485571284186231,True,Higher than
165,0.8752010421590702,0.8284081562547647,True,Higher than
166,0.6847696327967133,0.8947363698099977,True,Lower than
167,0.9070914914322871,0.7404600949437432,True,Higher than
168,0.8996145109241263,0.7476457359148903,True,Higher than
169,0.8478729589553872,0.7274660335135917,True,Higher than
170,0.7993920170004885,0.8999991871291384,True,Lower than
171,0.7957115931302576,0.9015729713102445,True,Lower than
172,0.7721039630657788,0.7613416279206122,True,Higher than
173,0.9140206943682182,0.8055189093948947,True,Higher than
174,0.8733365266912417,0.7469640278049725,True,Higher than
180,0.891052288411838,0.863565917155215,True,Higher than
181,0.7536632900424032,0.8389075885828722,True,Lower than
184,0.5653971035841949,0.8107916858291727,True,Lower than
185,0.8482853879017344,0.8027632778410358,True,Higher than
186,0.770780566726818,0.9125717974165429,True,Lower than
187,0.8152296160729113,0.9173420450979544,True,Lower than
188,0.6764711594269441,0.8855532041069317,True,Lower than
196,0.7739673422257248,0.7908162580397815,True,Lower than
201,0.9112693408604686,0.7509733526654856,True,Higher than
202,0.8196114725496018,0.9339809886925668,True,Lower than
204,0.8337813614572438,0.8955921064837783,True,Lower than
208,0.715502097875517,0.8476670268144676,True,Lower than
212,0.6805136649510707,0.9392218012108227,True,Lower than
213,0.8669557380095995,0.8162177831157613,True,Higher than
214,0.8915689142540268,0.8517454301805434,True,Higher than
216,0.721725292867792,0.8420105482806508,True,Lower than
220,0.8983005620878588,0.7231522835633588,True,Higher than
221,0.8050258531908625,0.9389912647630411,True,Lower than
223,0.6470986427299563,0.8830468557715296,True,Lower than
224,0.9059619561494917,0.7440829733772438,True,Higher than
225,0.7211842170676208,0.7993020858140782,True,Lower than
229,0.6625956918652774,0.8320888982927788,True,Lower than
231,0.955275335995393,0.75451760087615,True,Higher than
234,0.8945804217592731,0.7549138233759644,True,Higher than
236,0.8691575290043507,0.8260228320978862,True,Higher than
237,0.4190958708758832,0.9286391907615303,True,Lower than
241,0.9616435308626663,0.9185329267364386,True,Higher than
243,0.959734289958659,0.906588818171863,True,Higher than
244,0.9227239028518213,0.8196324659801079,True,Higher than
246,0.9700622607823809,0.7717755892980823,True,Higher than
247,0.9709510851722029,0.8293195640763322,True,Higher than
249,0.7619030965646395,0.9329069488101783,True,Lower than
